Processing drift.midi...
Track 0: 
Note Start: 0, Note End: 515, Note Name: A3, Velocity: 57
Note Start: 0, Note End: 545, Note Name: C#4, Velocity: 57
Note Start: 0, Note End: 545, Note Name: D#4, Velocity: 57
Note Start: 0, Note End: 545, Note Name: E4, Velocity: 71
Note Start: 0, Note End: 17912, Note Name: E6, Velocity: 37
Note Start: 1, Note End: 516, Note Name: G#4, Velocity: 64
Note Start: 0, Note End: 20449, Note Name: F#6, Velocity: 36
Note Start: 0, Note End: 515, Note Name: F#4, Velocity: 28
Note Start: 0, Note End: 545, Note Name: A4, Velocity: 38
Note Start: 5, Note End: 550, Note Name: E4, Velocity: 44
Note Start: 0, Note End: 515, Note Name: G#4, Velocity: 33
Note Start: 0, Note End: 545, Note Name: B4, Velocity: 33
Note Start: 0, Note End: 545, Note Name: C#5, Velocity: 39
Note Start: 0, Note End: 20995, Note Name: G#6, Velocity: 41
Note Start: 0, Note End: 1023, Note Name: G#5, Velocity: 41
Note Start: 1, Note End: 516, Note Name: G#4, Velocity: 39
Note Start: 0, Note End: 545, Note Name: B4, Velocity: 28
Note Start: 0, Note End: 545, Note Name: C#5, Velocity: 34
Note Start: 0, Note End: 515, Note Name: A3, Velocity: 56
Note Start: 0, Note End: 545, Note Name: C#4, Velocity: 56
Note Start: 0, Note End: 545, Note Name: E4, Velocity: 70
Note Start: 0, Note End: 21503, Note Name: A6, Velocity: 36
Note Start: 0, Note End: 545, Note Name: D#4, Velocity: 28
Note Start: 0, Note End: 515, Note Name: F#4, Velocity: 42
Note Start: 1, Note End: 546, Note Name: E4, Velocity: 37
Note Start: 1, Note End: 546, Note Name: B4, Velocity: 29
Note Start: 0, Note End: 545, Note Name: C#5, Velocity: 43
Note Start: 0, Note End: 545, Note Name: E4, Velocity: 57
Note Start: 0, Note End: 515, Note Name: G#4, Velocity: 71
Note Start: 0, Note End: 545, Note Name: E4, Velocity: 43
Note Start: 1, Note End: 546, Note Name: E4, Velocity: 50
Note Start: 1, Note End: 516, Note Name: A3, Velocity: 56
Note Start: 0, Note End: 545, Note Name: C#4, Velocity: 56
Note Start: 0, Note End: 545, Note Name: E4, Velocity: 70
Note Start: 0, Note End: 545, Note Name: E4, Velocity: 56
Note Start: 1, Note End: 546, Note Name: E4, Velocity: 62
Note Start: 1, Note End: 516, Note Name: G#4, Velocity: 67
Note Start: 31, Note End: 546, Note Name: F#4, Velocity: 28
Note Start: 0, Note End: 545, Note Name: A4, Velocity: 28
Note Start: 0, Note End: 545, Note Name: C#5, Velocity: 28
Note Start: 0, Note End: 6164, Note Name: D#5, Velocity: 42
Note Start: 1, Note End: 6165, Note Name: D#5, Velocity: 29
Note Start: 0, Note End: 17407, Note Name: D#6, Velocity: 43
Note Start: 0, Note End: 515, Note Name: A3, Velocity: 57
Note Start: 0, Note End: 545, Note Name: C#4, Velocity: 57
Note Start: 0, Note End: 545, Note Name: E4, Velocity: 67
Note Start: 0, Note End: 24068, Note Name: F#5, Velocity: 29
Note Start: 0, Note End: 1023, Note Name: G#5, Velocity: 29
Note Start: 0, Note End: 24068, Note Name: B5, Velocity: 29
Note Start: 0, Note End: 24068, Note Name: C#6, Velocity: 39
Note Start: 0, Note End: 1023, Note Name: G#5, Velocity: 37
Note Start: 1, Note End: 6165, Note Name: D#5, Velocity: 28
Note Start: 0, Note End: 17407, Note Name: D#6, Velocity: 38
Note Start: 1, Note End: 6165, Note Name: D#5, Velocity: 28
Note Start: 0, Note End: 17407, Note Name: D#6, Velocity: 42
Note Start: 0, Note End: 515, Note Name: A3, Velocity: 56
Note Start: 0, Note End: 545, Note Name: C#4, Velocity: 56
Note Start: 0, Note End: 545, Note Name: E4, Velocity: 66
Note Start: 0, Note End: 24068, Note Name: F#5, Velocity: 28
Note Start: 0, Note End: 1023, Note Name: G#5, Velocity: 28
Note Start: 0, Note End: 24068, Note Name: B5, Velocity: 28
Note Start: 0, Note End: 24068, Note Name: C#6, Velocity: 38
Note Start: 5, Note End: 1028, Note Name: G#5, Velocity: 41
Note Start: 31, Note End: 546, Note Name: A3, Velocity: 56
Note Start: 0, Note End: 545, Note Name: C#4, Velocity: 56
Note Start: 0, Note End: 545, Note Name: E4, Velocity: 66
Note Start: 0, Note End: 545, Note Name: C#5, Velocity: 28
Note Start: 0, Note End: 6164, Note Name: D#5, Velocity: 38
Note Start: 1, Note End: 546, Note Name: E4, Velocity: 29
Note Start: 0, Note End: 515, Note Name: G#4, Velocity: 29
Note Start: 0, Note End: 545, Note Name: B4, Velocity: 29
Note Start: 0, Note End: 545, Note Name: C#5, Velocity: 43
Note Start: 0, Note End: 515, Note Name: G#4, Velocity: 65
Note Start: 0, Note End: 24068, Note Name: F#5, Velocity: 29
Note Start: 0, Note End: 1023, Note Name: G#5, Velocity: 29
Note Start: 0, Note End: 24068, Note Name: B5, Velocity: 29
Note Start: 0, Note End: 24068, Note Name: C#6, Velocity: 39
Note Start: 1, Note End: 546, Note Name: E4, Velocity: 39
Note Start: 0, Note End: 515, Note Name: G#4, Velocity: 39
Note Start: 0, Note End: 545, Note Name: B4, Velocity: 28
Note Start: 0, Note End: 545, Note Name: C#5, Velocity: 34
Note Start: 0, Note End: 24068, Note Name: F#5, Velocity: 28
Note Start: 0, Note End: 1023, Note Name: G#5, Velocity: 28
Note Start: 0, Note End: 24068, Note Name: B5, Velocity: 28
Note Start: 0, Note End: 24068, Note Name: C#6, Velocity: 38
Note Start: 0, Note End: 515, Note Name: F#4, Velocity: 39
Note Start: 0, Note End: 545, Note Name: A4, Velocity: 39
Note Start: 0, Note End: 545, Note Name: C#5, Velocity: 28
Note Start: 0, Note End: 6164, Note Name: D#5, Velocity: 34
Note Start: 1, Note End: 516, Note Name: A3, Velocity: 59
Note Start: 0, Note End: 545, Note Name: C#4, Velocity: 59
Note Start: 0, Note End: 545, Note Name: E4, Velocity: 73
Note Start: 1, Note End: 546, Note Name: B4, Velocity: 28
Note Start: 0, Note End: 545, Note Name: C#5, Velocity: 38
Note Start: 0, Note End: 545, Note Name: E4, Velocity: 56
