Processing radium.midi...
Track 0: 
Track 1: Xylophone
Note Start: 175, Note End: 2022, Note Name: D5, Velocity: 49
Note Start: 174, Note End: 2117, Note Name: D5, Velocity: 49
Note Start: 167, Note End: 2519, Note Name: D5, Velocity: 52
Note Start: 177, Note End: 1841, Note Name: D5, Velocity: 49
Note Start: 165, Note End: 2607, Note Name: D5, Velocity: 49
Note Start: 170, Note End: 2361, Note Name: D5, Velocity: 49
Note Start: 168, Note End: 2520, Note Name: D5, Velocity: 108
Note Start: 3, Note End: 171, Note Name: D5, Velocity: 49
Note Start: 183, Note End: 1122, Note Name: D5, Velocity: 49
Note Start: 173, Note End: 2122, Note Name: D5, Velocity: 102
Note Start: 12, Note End: 261, Note Name: D5, Velocity: 50
Note Start: 179, Note End: 1599, Note Name: D5, Velocity: 49
Note Start: 176, Note End: 2023, Note Name: D5, Velocity: 104
Note Start: 6, Note End: 174, Note Name: D5, Velocity: 49
Note Start: 175, Note End: 2022, Note Name: D5, Velocity: 52
Note Start: 159, Note End: 3376, Note Name: D5, Velocity: 61
Note Start: 29, Note End: 116, Note Name: D5, Velocity: 49
Note Start: 155, Note End: 3855, Note Name: D5, Velocity: 49
Note Start: 155, Note End: 3379, Note Name: F4, Velocity: 106
Note Start: 2, Note End: 28422, Note Name: F#5, Velocity: 62
Note Start: 273, Note End: 15277, Note Name: D5, Velocity: 49
Note Start: 104, Note End: 10155, Note Name: D5, Velocity: 49
Note Start: 103, Note End: 10258, Note Name: D5, Velocity: 49
Note Start: 108, Note End: 9144, Note Name: F4, Velocity: 49
Note Start: 1, Note End: 19586, Note Name: F#4, Velocity: 50
Note Start: 1, Note End: 6769, Note Name: F4, Velocity: 55
Note Start: 1, Note End: 3589, Note Name: E5, Velocity: 61
Note Start: 1, Note End: 5254, Note Name: C5, Velocity: 66
Note Start: 1, Note End: 11122, Note Name: C#5, Velocity: 72
Note Start: 1, Note End: 169, Note Name: D5, Velocity: 77
Note Start: 1, Note End: 12423, Note Name: A5, Velocity: 77
Note Start: 1, Note End: 14479, Note Name: A#5, Velocity: 110
