Processing zeg2.midi...
Track 0: 
Note Start: 0, Note End: 14851, Note Name: G1, Velocity: 40
Note Start: 0, Note End: 14851, Note Name: A#1, Velocity: 54
Note Start: 25, Note End: 12861, Note Name: A3, Velocity: 87
Note Start: 14, Note End: 28173, Note Name: G#4, Velocity: 44
Note Start: 0, Note End: 7679, Note Name: G#5, Velocity: 46
Note Start: 0, Note End: 13117, Note Name: A#3, Velocity: 87
Note Start: 5, Note End: 13506, Note Name: G3, Velocity: 87
Note Start: 6, Note End: 12842, Note Name: A3, Velocity: 87
Note Start: 20, Note End: 13137, Note Name: A#3, Velocity: 82
Note Start: 5, Note End: 13506, Note Name: G3, Velocity: 87
Note Start: 17, Note End: 14403, Note Name: C4, Velocity: 82
Note Start: 28, Note End: 12864, Note Name: A3, Velocity: 87
Note Start: 15, Note End: 14401, Note Name: C4, Velocity: 87
Note Start: 15, Note End: 14648, Note Name: D4, Velocity: 87
Note Start: 4, Note End: 28126, Note Name: C5, Velocity: 82
Note Start: 0, Note End: 29186, Note Name: D5, Velocity: 92
Note Start: 0, Note End: 29227, Note Name: B4, Velocity: 23
Note Start: 0, Note End: 28159, Note Name: G5, Velocity: 52
Note Start: 0, Note End: 1790, Note Name: A5, Velocity: 31
Note Start: 1, Note End: 33258, Note Name: E5, Velocity: 87
Note Start: 0, Note End: 7657, Note Name: A#4, Velocity: 29
Note Start: 0, Note End: 1790, Note Name: A5, Velocity: 49
Note Start: 0, Note End: 8451, Note Name: D6, Velocity: 37
Note Start: 8, Note End: 30532, Note Name: D3, Velocity: 23
Note Start: 0, Note End: 30524, Note Name: A2, Velocity: 66
Note Start: 0, Note End: 33119, Note Name: E4, Velocity: 67
Note Start: 0, Note End: 33257, Note Name: E5, Velocity: 73
Note Start: 4, Note End: 30908, Note Name: E3, Velocity: 23
Note Start: 0, Note End: 14345, Note Name: C#3, Velocity: 66
Note Start: 37, Note End: 31287, Note Name: F#3, Velocity: 23
Note Start: 0, Note End: 18442, Note Name: D#3, Velocity: 66
Note Start: 9, Note End: 13510, Note Name: G3, Velocity: 23
Note Start: 0, Note End: 30904, Note Name: E3, Velocity: 66
Note Start: 2, Note End: 12838, Note Name: A3, Velocity: 23
Note Start: 0, Note End: 31250, Note Name: F#3, Velocity: 66
Note Start: 7, Note End: 1797, Note Name: C#4, Velocity: 23
Note Start: 0, Note End: 13117, Note Name: A#3, Velocity: 66
Note Start: 18, Note End: 14651, Note Name: D4, Velocity: 18
Note Start: 0, Note End: 32232, Note Name: B3, Velocity: 61
Note Start: 7, Note End: 1797, Note Name: D#4, Velocity: 23
Note Start: 0, Note End: 13117, Note Name: A#3, Velocity: 66
Note Start: 30, Note End: 12062, Note Name: F4, Velocity: 23
Note Start: 0, Note End: 32232, Note Name: B3, Velocity: 66
Note Start: 16, Note End: 32901, Note Name: F#4, Velocity: 23
Note Start: 0, Note End: 1790, Note Name: D#4, Velocity: 66
Note Start: 12, Note End: 28171, Note Name: G#4, Velocity: 23
Note Start: 0, Note End: 12032, Note Name: G4, Velocity: 66
Note Start: 19, Note End: 6652, Note Name: A4, Velocity: 18
Note Start: 0, Note End: 32885, Note Name: F#4, Velocity: 61
Note Start: 4, Note End: 7661, Note Name: A#4, Velocity: 30
Note Start: 0, Note End: 14851, Note Name: A#1, Velocity: 80
Note Start: 0, Note End: 12032, Note Name: F4, Velocity: 90
Note Start: 0, Note End: 14386, Note Name: C4, Velocity: 48
Note Start: 0, Note End: 33119, Note Name: E4, Velocity: 58
Note Start: 0, Note End: 6633, Note Name: A4, Velocity: 80
Note Start: 0, Note End: 7145, Note Name: D#5, Velocity: 90
Note Start: 0, Note End: 34055, Note Name: A#2, Velocity: 65
Note Start: 0, Note End: 14345, Note Name: C#3, Velocity: 79
Note Start: 0, Note End: 22537, Note Name: C2, Velocity: 84
Note Start: 0, Note End: 22537, Note Name: C1, Velocity: 16
Note Start: 0, Note End: 7679, Note Name: G#1, Velocity: 19
Note Start: 0, Note End: 14851, Note Name: A#1, Velocity: 20
Note Start: 0, Note End: 14851, Note Name: D2, Velocity: 31
Note Start: 0, Note End: 7145, Note Name: D#5, Velocity: 108
Note Start: 0, Note End: 6633, Note Name: A4, Velocity: 47
Note Start: 0, Note End: 7145, Note Name: D#5, Velocity: 61
Note Start: 0, Note End: 14386, Note Name: C4, Velocity: 80
Note Start: 0, Note End: 33119, Note Name: E4, Velocity: 90
Note Start: 0, Note End: 14345, Note Name: C#3, Velocity: 76
Note Start: 0, Note End: 12836, Note Name: A3, Velocity: 86
Note Start: 0, Note End: 34055, Note Name: A#2, Velocity: 76
Note Start: 0, Note End: 14345, Note Name: C#3, Velocity: 86
Note Start: 0, Note End: 14851, Note Name: A#1, Velocity: 76
Note Start: 0, Note End: 34077, Note Name: F2, Velocity: 86
Note Start: 0, Note End: 33257, Note Name: E5, Velocity: 108
Note Start: 9, Note End: 7154, Note Name: D#5, Velocity: 108
Note Start: 10, Note End: 14861, Note Name: A#1, Velocity: 49
Note Start: 0, Note End: 12032, Note Name: F4, Velocity: 59
Note Start: 0, Note End: 14386, Note Name: C4, Velocity: 49
Note Start: 0, Note End: 33119, Note Name: E4, Velocity: 59
Note Start: 0, Note End: 6633, Note Name: A4, Velocity: 49
Note Start: 0, Note End: 7145, Note Name: D#5, Velocity: 59
Note Start: 0, Note End: 34055, Note Name: A#2, Velocity: 63
Note Start: 0, Note End: 14345, Note Name: C#3, Velocity: 73
Note Start: 0, Note End: 22537, Note Name: C2, Velocity: 82
Note Start: 0, Note End: 22537, Note Name: C1, Velocity: 14
Note Start: 0, Note End: 7679, Note Name: G#1, Velocity: 17
Note Start: 0, Note End: 14851, Note Name: A#1, Velocity: 18
